Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
SMITH et al.,2003|s.45658|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|49.05|0.63|19.21||9.14|0.17|5.71|13.12|1.69|0.41||0.09|6|10|0.019|1|0.8|47.3713880946273|0.500020258632308|15.1497321650598|0|1.59897048473463|8.34063953264561|0.179059613170424|14.729791756821|10.4063440322673|1.33043441317361|0.322768112071705|0|0.070851536796228|1339.06941451376|1428.04683596834|0.911611942448883|0.240457719001895|3.2|1.8|Spinel Peridotite
SMITH et al.,2003|s.45659|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|48.88|0.61|19.77||8.839|0.17|5.54|13.12|1.65|0.32||0.07|4|9||1|0.8|47.4278375272553|0.491662620173914|15.8379347983456|0|1.57100553090582|8.13170223118605|0.180664861956343|14.1576623745988|10.5699166633714|1.31968730252016|0.255939355640274|0|0.0559867340463099|1325.82599637499|1413.07223398482|0.910394178058834|0.224655224635366|3|1.8|Spinel Peridotite
SMITH et al.,2003|s.45660|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|49.3|0.73|17.03||10.199|0.2|6.56|12.7|1.71|0.4||0.09|6|6||1|0.8|47.4038753848976|0.559211640149187|12.9540116155251|0|1.71983538639847|9.06672405077156|0.204987322682605|16.7063749168022|9.71556402189043|1.29759126368627|0.303530120160531|0|0.0682942770361194|1379.90949404258|1479.35767374024|0.914737834184362|0.278823350088425|3.6|1.8|Harzburgite
SMITH et al.,2003|s.45661|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|48.71|0.6|21.09||8.334|0.16|4.75|13.16|1.67|0.33||0.06|4|4||1|0.8|47.31069177943|0.483662358987076|16.8969439435009|0|1.48139701910378|7.91316402223201|0.174161463113144|13.4834018241709|10.6088033673489|1.33581696647047|0.263963831697757|0|0.0479934239450468|1311.14700295992|1395.35391369212|0.908825325961513|0.192698766696614|2.8|1.8|Spinel Peridotite
SMITH et al.,2003|s.45663|0.005|0.005|-30.7|-178.42|KERMADEC ARC / KERMADEC ISLANDS / MACAULEY / SANDY BAY TEPHRA / PACIFIC OCEAN|CONVERGENT MARGIN|48.34|0.61|19.59||8.339|0.17|4.67|12.93|1.73|0.22||0.09|2|3||1|0.8|47.7204728568792|0.492430352908634|15.7096742963531|0|1.4833467312877|8.12443847525725|0.188537947055843|14.2118329035336|10.4363220797009|1.38480085178976|0.176101842424131|0|0.0720416628098718|1326.71428173854|1414.49242070491|0.910425707581576|0.235517289105821|3.1|1.7|Harzburgite
SHERATON and SUN, 1997|s.88982029|1080|0|-26.5|128.7|AUSTRALIA / NORTHERN TERRITORY / WARAKURNA - MUSGRAVE BLOCK - GILES COMPLEX|CONTINENTAL FLOOD BASALT|48.3|0.73|15.57||10.543|0.16|9.49|11.72|1.95|0.21||0.06|2|2||1|0.8|47.4443560691528|0.619141824251104|13.1478174766863|0|1.9751698080977|8.82876826865418|0.160505970761432|16.024169705663|9.92850240638382|1.6439452780098|0.177040260708748|0|0.0505829316310707|1370.57514097613|1461.72223634247|0.913739317769794|0.264235658744671|3.4|1.7|Harzburgite
PUCHTEL et al., 2004|s.ALX04|2700|0|48.47|-81.4|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / UPPER SOUPERGROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.4|0.369|7.98||11.43|0.2|24.6|8.01|0.06|0.03||0.02||||1|0.8|47.1998685920426|0.45206519583825|9.79431654083225|0|3.13144850538659|9.86403550251056|0.218983157957839|19.3827311610059|9.82093743277547|0.0739712245366911|0.0369856122683455|0|0.0246570748455637|1422.09779700365|1547.78812875494|0.919226973278389|0.347627280737961|4.4|2|Harzburgite
BYERLY et al., 1999|s.SA 224-19|3350|150|-25.77|31|KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.6|0.78|7.8||13.14|0.22|15.23|11.04|1.98|0.21||0||||1|0.8|47.921086434025|0.642559259492228|6.40517826777731|0|2.38983280427819|10.1887791315092|0.20734974445843|21.3696993879871|9.08314036726392|1.62050306591467|0.17187153729398|0|0|1470.97833134228|1597.81362213406|0.924222085806185|0.420320657115669|5.3|2|Harzburgite
BYERLY et al., 1999|s.SA 224-6|3350|150|-25.77|31|KAAPVAAL CRATON_ARCHEAN / BARBERTON GREENSTONE BELT / ONVERWACHT GROUP / MENDON FORMATION|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.16|0.81|8.52||13.58|0.21|16.61|10.69|1.25|0.09||0.07||||1|0.8|46.9069079195227|0.684881726716739|7.18603929157812|0|2.53727939261918|10.4856061056345|0.198519219241983|21.7857979537963|9.02947223874259|1.05097176608858|0.0756699671583777|0|0.0588544189009605|1473.44115754118|1608.20565810995|0.924448369214693|0.394875310393546|5.3|2|Harzburgite
KAGAMI et al., 1995|s.HIRAO|197|0|34.6|135.55|HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / FUKUDAYAMA MASS / PACIFIC OCEAN|CONVERGENT MARGIN|48.78|0.56|17.42||9.77|0.23|9.68|11.84|1.37|0.34||0.01||||1|0.8|47.7351316408977|0.495733749897059|15.372286068459|0|1.91401947454294|8.08124234977221|0.23008466834481|14.1818325727223|10.4733428906186|1.20777175645417|0.29973897605432|0|0.00881585223689175|1327.33221171029|1413.70596406972|0.910401953298861|0.245775713304336|3.1|1.7|Harzburgite
SHUTO et al., 1997|s.HR02|14.15|8.85|38|139|HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / PACIFIC OCEAN|CONVERGENT MARGIN|49.16|0.84|16.43||9.56|0.12|8.26|11.88|1.4|0.11||0.14|7|10.4||1|0.8|48.5612549418375|0.72260823043934|14.0704103226472|0|1.81681860412976|8.28800828533598|0.12336166148697|14.796786191032|10.209676644298|1.19727585837003|0.0940716745862168|0|0.119727585837003|1337.6755974492|1429.79671501053|0.910560927384104|0.267206971063819|3.2|1.3|Harzburgite
GREEN et al., 2000|s.GC150697|3460|0|-21|119.25|WEST AUSTRALIAN CRATON / PILBARA CRATON / PILBARA SUPERGROUP / WARRAWOONA GROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.27|0.98|15.47|0.052|9.21|0.17|6.27|12.25|1.67|1.3||0.09|27.1|3.728|0.234|1|0.8|47.7718969335829|0.817312757618205|12.8222358371957|0.0486677192282731|1.69323228390542|8.54090464469859|0.183871054343593|15.3841503136905|10.206153151787|1.38161135869155|1.07550584808325|0|0.0744580971749939|1359.99996721709|1445.10624417811|0.913222178149782|0.267799270413488|3.4|1.6|Harzburgite
THURSTON and FRYER 1983|s.431|2738|0|51.1|-92.63|SUPERIOR PROVINCE_ARCHEAN / UCHI SUBPROVINCE / BIRCH-CONFEDERATION LAKE BELT / CONFEDERATION ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.6|0.83|18.2||10.2|0.17|7.89|12.5|2.27|0.02||0.03|2|0||1|0.8|46.4077047518071|0.693416030907474|15.1325494506477|0|1.88200738780783|8.66786563542673|0.172256970927766|14.6846687272749|10.4332411306207|1.88477504573108|0.0166059475394809|0|0.0249089213092213|1344.50159646546|1426.86780796716|0.909739464799284|0.131179127372942|3.2|2|Spinel Peridotite
PUCHTEL et al., 1993|s.86156|3230|0|57.03|120.72|ALDAN SHIELD - ARCHEAN / OLONDO GREENSTONE BELT / ANCIENT MAFIC-ULTRAMAFIC OLONDO ASSOCIATION|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.4|0.93|9.14||12.7|0.22|19|9.79|0.4|0.2||0.08|0|||1|0.8|47.1287879059402|0.899768063438765|8.83874495427624|0|2.72751075714334|10.079479935706|0.217416957008945|19.9812178631132|9.46989380614036|0.386576327784095|0.193288163892048|0|0.0773152655568191|1434.85319610973|1562.92590923241|0.920308499557283|0.348300804037862|4.6|2|Harzburgite
WYMAN 1999|s.V44-2|2700|0|48.12|-77.77|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / MALARTIC GROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|49.1|0.47|17.7||8.91|0.16|8.4|11.7|1.2|||0.03|0.5|1.16|0.06|1|0.8|48.9995376127368|0.423760312469529|15.9040316701008|0|1.77745193507131|7.70041394661685|0.165586597627297|13.383056191574|10.5419870468651|1.07724359701292|0|0|0.0269310899253229|1305.03337587398|1392.71048686476|0.907567506425369|0.255346554469591|2.8|1.3|Harzburgite
