Reference|Sample|Age|Age_sigma|Latitude|Longitude|Location|GeodynamicContext|SiO2|TiO2|Al2O3|Cr2O3|FeOT|MnO|MgO|CaO|Na2O|K2O|NiO|P2O5|Nb|Ta|Rb|Pressure|Fe2_FeT|SiO2_Primary|TiO2_Primary|Al2O3_Primary|Cr2O3_Primary|Fe2O3_Primary|FeO_Primary|MnO_Primary|MgO_Primary|CaO_Primary|Na2O_Primary|K2O_Primary|NiO_Primary|P2O5_Primary|T_OL|T_p|OL_Mg|F_AFM|Pi|Pf|Residual_Mineralogy
BARNES STEPHEN 1985|s.HTA17|2700|0|48.47|-81.33|SUPERIOR PROVINCE_ARCHEAN / ABITIBI GREENSTONE BELT / SOUTHERN ABITIBI VOLCANIC ZONE / UPPER SOUPERGROUP|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.39|0.47|8.39||11.89|0.17|24.49|7.93|0.17|0.06||0.03|2|||1|0.9|46.609205959675|0.493937543654022|8.82047139529647|0|1.39075421250458|10.8951851233143|0.173602389388694|23.007944546506|8.33519278615705|0.178961643829437|0.063162933116272|0|0.031581466558136|1476.57762503375|1638.56051100064|0.926423331373355|0.399244464013806|7|3|Harzburgite
RAJAMANI et al., 1985|s.K-23|2700|0|13.13|78.13|DHARWAR CRATON_ARCHEAN / EASTERN DHARWAR CRATON / KOLAR GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|45.32|0.72|10.41||12.86|0.19|15.18|11.2|1.07|0.31|||10.1|5||1|0.9|45.4842782943322|0.6089419641761|8.77755350367564|0|1.20057710878516|11.414692300947|0.183468463503481|21.710239310591|9.46074923352975|0.899032469486862|0.260467350972829|0|0|1467.3431781544|1606.32074704536|0.920325076873641|0.223890274426353|5.5|5|Garnet Peridotite
PAPUNEN et al., 2009|s.132TTT 96-|2800|0|64.2841|29.0823|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.47|1.31|7.58||12.78|0.243|14.76|11.14|0.79|1.46||0.095|62|1||1|0.9|46.4218052767579|1.06295858987173|6.12845846990743|0|1.14276517617216|11.3044976526222|0.232120588329691|22.7942952488334|9.02592692840427|0.635763724771838|1.17495574451504|0|0.076452599814335|1487.55533902383|1633.27213286179|0.923454261208563|0.318686285385265|6.5|5|Garnet Peridotite
PAPUNEN et al., 2009|s.8.2|2800|0|64.2784|29.0686|BALTIC SHIELD - ARCHEAN / KARELIAN PROVINCE - GREENSTONE BELTS / KUHMO GREENSTONE BELT / RONKAPER?FORMATION|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|50.2|1.56|9.58||11.88|0.41|11.2|11.9|1.47|0.16||0.12|0|12||1|0.9|47.8908161237269|1.13114964853004|6.90378384929813|0|0.946199490329956|10.6065774350287|0.382912895400037|22.2748884554993|8.60924095970399|1.05372215968563|0.114690847312722|0|0.086018135484542|1469.13002077114|1620.38347474806|0.924640828451568|0.403034604916478|5.7|2.8|Harzburgite
MIL^KEVICH et al., 2007|s.1209?|2850|50|66.78|32|BALTIC SHIELD - ARCHEAN / BELOMORIAN PROVINCE - GREENSTONE BELTS / KOVDOZERO NAPPE (TANAELV BELT) / LOWER KALIKORVA SEQUENCE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.63|0.58|16.67||10.107|0.15|10.83|11.58|2.02|0.52|||30|4||1|0.9|46.164250822714|0.509885445774623|14.6063402817674|0|0.982661954327752|9.30603259320614|0.149401090411765|15.8885863615124|10.1702578670335|1.76756647172045|0.455017111531996|0|0|1367.17288224508|1458.20800710761|0.91091797879942|0.115531496965257|3.4|2.5|Garnet Peridotite
MIL^KEVICH et al., 2007|s.35/12B|2850|50|66.78|32|BALTIC SHIELD - ARCHEAN / BELOMORIAN PROVINCE - GREENSTONE BELTS / KOVDOZERO NAPPE (TANAELV BELT) / UPPER KALIKORVA SEQUENCE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|46.21|0.75|11.7||11.367|0.22|15.97|10.6|1.09|0.62||0.2|21|3||1|0.9|46.2145509749857|0.692284283358542|10.7819759938181|0|1.16217916469882|10.2083783621625|0.216957414591023|19.1881615151779|9.77798085448949|1.00298914451443|0.570507586788022|0|0.184034705415491|1424.20318285799|1542.85383377815|0.918108203129452|0.254299370348531|4.2|3|Garnet Peridotite
HOLLINGS 2002|s.GPT88-8B|2932|0|51.5|-90.25|SUPERIOR PROVINCE_ARCHEAN / UCHI SUBPROVINCE / PICKLE LAKE GREENSTONE BELT / NORTHERN PICKLE ASSEMBLAGE|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.78|1.01|11.3||12.9|0.22|8.7|13.19|1.98|0.42||0.06|11.02|4.87|0.27|1|0.9|46.1478993622049|0.660902839170906|7.33270208490206|0|0.924112429861326|11.5884066549406|0.203490545258906|22.9491938524843|8.60725740969401|1.27656461241309|0.270786432936109|0|0.03868377613373|1490.73972760704|1637.10704230882|0.922506738564347|0.280814446960247|7|5|Garnet Peridotite
POLAT  et al., 2007|s.485460|3080|0|64.7484|-49.8638|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.44|0.56|14.85||11.43|0.24|9.38|12.98|1.63|0.19||0.03|2.5|1.21|0.07|1|0.9|46.0234831444092|0.422341666332333|11.1277961207609|0|0.948297503478521|10.5313634185873|0.232454369892343|19.5633289451437|9.76955657829707|1.21710624462204|0.141871280047968|0|0.022400728428627|1428.90971749297|1552.36240532017|0.917622748466091|0.218981190914427|4.5|4|Garnet Peridotite
POLAT  et al., 2007|s.485461|3080|0|64.7484|-49.8638|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|47.47|0.56|14.74||11.56|0.24|9.4|12.9|1.61|0.21||0.03|7.8|1.03|0.08|1|0.9|45.9914839064544|0.418160354027004|10.9345583587823|0|0.949266040120594|10.6222867726244|0.231554556515984|19.8728559907385|9.61259530378107|1.18986720772902|0.15520007057335|0|0.022171438653336|1434.52474735014|1560.18952729592|0.918195313004254|0.227522098544182|4.5|4|Garnet Peridotite
POLAT et al., 2009|s.499702MA|3080|0|64.7463|-49.8599|NORTH ATLANTIC CRATON_ARCHEAN / GREENLAND - IVISAARTOQ GREENSTONE BELT|ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)|48.2|0.63|14.2||11.43|0.25|8.7|13.7|1.2|0.21||0.05|7.3|8.78|0.43|1|0.9|46.2968054774681|0.450022896262275|10.0678466316184|0|0.896430139041023|10.5906192602081|0.24018564580787|20.6640540078456|9.76349420710299|0.84702060381829|0.148228605668201|0|0.035292525159095|1442.75454214896|1580.1236818691|0.921154174619808|0.300283153686251|5|4|Garnet Peridotite
