Location|Age|T_g|P|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Pacific MORB|0|1348.12002414406|1.08450559544709|49.46|0.83|17.42|8.11|0.14|9.85|12.72|2.14|0.04
Pacific MORB|0|1395.35523097962|1.4800304257677|47.2|0.77|16.9|8.8|0.14|10.9|12.2|2.05|0.02
Oman ophiolite 3|78|1362.46191307442|0.782595224618273|50.55|0.74|15.36|8.43384338433843|0.16|8.28|12.16|1.39|0.04
Oman ophiolite 3|78|1377.03718540275|0.933207937391258|49.93|0.8|15.5|8.6948694869487|0.12|8.29|12.24|1.49|0.08
Oman ophiolite 3|78|1421.51536510392|1.23507590150979|48.81|0.74|14.79|9.44194419441944|0.14|8.4|13.48|1.36|0.04
Oman ophiolite 3|78|1266.40594436279|0.423110549925034|50.84|0.59|16.21|6.38163816381638|0.12|8.67|12.55|1.76|0.11
Oman ophiolite 3|78|1388.05157658251|0.967120712213137|48.97|0.54|15.83|8.82988298829883|0.14|8.88|12.55|1.02|0.03
Oman ophiolite 3|78|1168.2296786621|-0.119406022147325|49.92|0.22|17.08|4.02340234023402|0.09|9.3|17.1|0.83|0.01
Oman ophiolite 3|78|1197.54431938188|0.34611788249867|46.22|0.11|20.95|4.48244824482448|0.07|9.76|14.6|0.78|0.02
Oman ophiolite 3|78|1174.55866004692|0.0352889525709414|47.06|0.16|18.72|4.03240324032403|0.08|10.48|15.95|0.46|0.01
Oman ophiolite 3|78|1260.22064934606|0.248198846427224|48.07|0.31|16.6|5.94959495949595|0.1|10.91|15.18|0.33|0.01
Troodos Complex, Cyprus|90|1324.31343844631|0.627184317284406|53.97|0.69|16.13|8.09351935193519|0.13|8.15|9.65|2.01|0.53
Northland, New Zealand|100|1459.98580188117|1.76031001988879|47.28|1.37|11.8|9.94599459945995|0.22|10.98|12.01|2.24|0.21
Sarikaraman, Turkey|100|1418.76177350791|1.56259688250827|49.26|1.35|15.9|9.63096309630963|0.17|7.81|7.16|3.46|0.59
Sarikaraman, Turkey|100|1448.15825947683|1.98263359312206|46.23|0.95|17.03|9.7029702970297|0.37|7.95|12.96|1.87|0.64
Sarikaraman, Turkey|100|1321.72205525793|0.870958566975151|48.38|0.61|17.95|7.31773177317732|0.12|8.23|14.09|1.67|0.07
Sarikaraman, Turkey|100|1320.79428238248|0.845791784635796|49.82|0.37|16.43|7.47074707470747|0.18|8.37|11.86|2.35|0.25
Sarikaraman, Turkey|100|1232.0256790651|0.299407225646084|47.58|0.22|19.01|5.21152115211521|0.12|8.44|17.43|0.77|0.08
Sarikaraman, Turkey|100|1468.49588213947|1.80812329741833|47.86|0.88|15.3|10.4140414041404|0.23|8.45|12.24|1.66|0.34
Sarikaraman, Turkey|100|1357.70579975046|1.00522403440705|48.65|0.64|16.54|8.1008100810081|0.22|8.72|13.9|1.54|0.16
Sarikaraman, Turkey|100|1345.69396390914|0.906222726051098|48.19|0.57|16.58|7.7947794779478|0.22|9.19|14.35|1.22|0.18
Sarikaraman, Turkey|100|1324.08039670647|0.710201092689209|51.4|0.61|14.22|7.68676867686769|0.18|9.29|11.87|2.42|0.13
