Location|Age|SiO2|TiO2|Al2O3|FeOT|MnO|MgO|CaO|Na2O|K2O
Bogoin|2000|49.38|0.44|8.47|8.80415384615385|0.19|22|8.04|0.52|0.08
Kautokeino gst Finland|2050|48.4|1.28|7.7|14.2676923076923|0.28|19.4|8.3|0.8|1.15
Kautokeino gst Finland|2050|48.8|0.5|4.6|12.4353846153846|0.15|19.5|10.8|0.5|0.15
Kautokeino gst Finland|2050|49.2|0.58|5.65|8.99300699300699|0.2|20.3|10.3|0.37|0.03
Kautokeino gst Finland|2050|47.8|0.67|8.7|11.1475524475525|0.15|20.3|8.1|0.5|0.1
Kautokeino gst Finland|2050|47.8|0.62|9.7|11.9274125874126|0.19|20.3|10|0.3|0.22
Kautokeino gst Finland|2050|50.4|0.78|5|11.7381818181818|0.21|20.7|9.8|0.1|0.01
Kautokeino gst Finland|2050|49.6|0.67|5|11.666993006993|0.23|20.7|9.6|0.1|0.03
Kautokeino gst Finland|2050|46.8|1|6.4|13.407972027972|0.17|21.3|8.6|0.5|0.06
Kautokeino gst Finland|2050|44|0.82|10|12.8475524475525|0.16|21.6|8.6|0.4|0.12
Kautokeino gst Finland|2050|46.4|1.05|7.2|12.9763636363636|0.2|21.8|8.9|0.1|0.01
Kautokeino gst Finland|2050|46|1.6|7|15.3044755244755|0.19|21.8|8.3|0.3|0.28
Kautokeino gst Finland|2050|44.6|0.92|6.5|12.8274125874126|0.28|22.2|10.1|0.2|0.01
Kautokeino gst Finland|2050|45.9|0.52|8.6|11.6086713286713|0.18|22.3|8.8|0.16|0.11
Kautokeino gst Finland|2050|48.2|0.86|6.9|12.3051748251748|0.23|22.7|9|0.2|0.14
Kautokeino gst Finland|2050|45.1|0.57|9|11.6878321678322|0.16|22.9|8.1|0.8|0.05
Kautokeino gst Finland|2050|45.7|0.63|9.5|11.4576223776224|0.19|23|9.4|0.3|0.15
Kautokeino gst Finland|2050|48.1|1.1|7.6|12.4274125874126|0.26|23|9.3|0.2|0.11
Kautokeino gst Finland|2050|47.9|1.65|5.3|11.8482517482518|0.11|23.5|7.3|0.1|0.02
Kautokeino gst Finland|2050|47.3|0.63|8.8|10.6576223776224|0.18|23.6|9|0.5|0.3
Kautokeino gst Finland|2050|46|0.7|9.2|11.9166433566434|0.19|23.8|8.8|0.8|0.2
Kautokeino gst Finland|2050|46.9|0.59|7.6|12.9576223776224|0.2|23.9|7.5|1.1|0.15
Kautokeino gst Finland|2050|45.3|0.48|7.6|11.8979020979021|0.15|28.5|4.9|0.2|0.02
Kautokeino gst Finland|2050|45.3|0.64|9|10.9878321678322|0.21|29|5.9|0.1|0.16
Kautokeino gst Finland|2050|46|0.76|3.2|12.8475524475525|0.17|29.4|5.1|0.1|0.02
Kautokeino gst Finland|2050|49.7|0.3|5.7|11.6777622377622|0.19|30|3.7|0.2|0.16
Northern Sweden|2055|43.5|1.49|7.55|12.4103496503497|0.25|21.1|8.99|0.69|0.11
Ontarior|2056|46.11|1.3|9.18|12.32|0.21|17.35|10.49|1.41|0.1
Karasjok komatiites, Lapland|2056|46.73|0.78|9.52|11.979|0.17|17.49|10.73|1.11|0.13
Karasjok komatiites, Lapland|2056|46.27|1.3|9.05|12.239|0.16|17.61|10.42|1.35|0.1
Karasjok komatiites, Lapland|2056|44.99|1.41|8.08|11.9067412587413|0.21|18.78|9|0.72|0.08
Karasjok komatiites, Lapland|2056|48.25|0.73|7.2|10.558|0.16|19.22|10.15|0.4|2.11
Karasjok komatiites, Lapland|2056|48.5|0.45|7|8.4893986013986|0.2|20.4|9.85|0.74|0.05
Karasjok komatiites, Lapland|2056|48.98|0.92|6.4|10.882|0.18|20.53|10.36|0.42|0.05
Karasjok komatiites, Lapland|2056|49.8|0.23|6.34|9.89230769230769|0.2|20.7|8.63|0.43|0.06
Karasjok komatiites, Lapland|2056|47.2|0.62|5.8|10.8063356643357|0.21|21.17|8.81|0.3|0.09
Karasjok komatiites, Lapland|2056|46.89|1.26|7.75|12.15|0.17|21.4|8.25|0.59|0.05
Karasjok komatiites, Lapland|2056|45.92|1.2|8.66|12.662|0.17|21.52|7.78|0.54|0.04
Karasjok komatiites, Lapland|2056|46.99|0.79|7.01|11.997|0.2|22.64|8.82|0.17|0.01
Karasjok komatiites, Lapland|2056|44.59|0.94|6.7|13.148|0.22|23.86|8.5|0.48|0.06
Karasjok komatiites, Lapland|2056|46.49|0.68|5.89|9.99446153846154|0.18|24.2|8.33|0.21|0.08
Karasjok komatiites, Lapland|2056|44.72|0.64|5.56|11.2835804195804|0.17|24.22|7.99|0.43|0.11
Karasjok komatiites, Lapland|2056|44.45|0.7|6.28|11.412993006993|0.2|24.23|7.6|0.08|0.08
Karasjok komatiites, Lapland|2056|46.67|0.63|5.7|11.799|0.2|24.82|8.46|0.31|0.06
Karasjok komatiites, Lapland|2056|44.29|0.59|5.96|11.5763636363636|0.15|24.82|7.78|0.2|0.09
Karasjok komatiites, Lapland|2056|43.18|0.72|6.56|11.3723356643357|0.17|24.87|8.29|0.08|0.08
Karasjok komatiites, Lapland|2056|43.25|0.78|7.07|12.662|0.24|26.14|8.18|0.2|0.04
Sattasvaara|2080|43.68|0.8818|7.73|12.024|0.2477|23.1|6.77|0.531|0.387
Sattasvaara|2080|46.95|0.5427|7.42|11.587|0.0955|24.24|3.55|0.688|0.014
Sattasvaara|2080|44.73|0.663|8.53|12.191|0.1896|25.42|5.44|0.214|0.01
Sattasvaara|2080|45.71|0.442|6.18|10.738|0.1188|25.68|7.55|0|0.015
Sattasvaara|2080|44.45|0.4954|6.79|10.545|0.1498|26.01|7.55|0.021|0.016
Sattasvaara|2080|43.16|0.5338|7.27|11.188|0.1291|26.19|6.54|0.125|0.015
Sattasvaara|2080|43.68|0.5371|7.34|11.613|0.1369|26.21|6.83|0.019|0.015
Sattasvaara|2080|44.39|0.4053|7.16|10.134|0.134|26.28|6.93|0.069|0.016
Basal Aravalli|2200|47.1|0.8|8.9|12.15|0.20697936|18.1|8.5|0.68|0.05
Basal Aravalli|2200|50.6|1.08|5.6|12.5182657342657|0.22|19.6|9.55|0.25|0.04
Jharol Belt, Bagdunda|2200|52|0.22|6.5|8.41745454545455|0.35|20.6|10.49|0.6|0.1
Jharol Belt, Bagdunda|2200|50.2|0.14|5.2|9.92827972027972|0.23|20.7|10.82|0.36|0.04
Jharol Belt, Bagdunda|2200|46.87|0.26|9.91|7.7|0.15804288|20.8|8.6|0.87|0.07
Jharol Belt, Bagdunda|2200|51|0.52|6.5|9.42467132867133|0.2|22.1|9.24|0.26|0.11
Aldan Shield|2202|46.6|2.18|6.02|14.3|0.22|18.2|11.8|0.41|0.1
Aldan Shield|2202|46.4|1.77|6.59|13.7|0.18|20|10.4|0.55|0.11
Vetreny Belt|2430|48.2|0.49|9.03|10.7016783216783|0.171992223206427|20.4|7.62|1.89|0.26
